排名,歌曲,歌手,播放次数,专辑
1,Go Time,Mark Petrie,524,Go Time
2,Worlds Collide,英雄联盟/Nicki Taylor,451,Worlds Collide
3,Legends Never Die,英雄联盟/Against the Current,445,Legends Never Die
4,Intro,Dreamtale,438,Beyond Reality
5,Serenata Immortale,Immediate Music,414,Trailerhead
6,Victory,Two Steps From Hell/Thomas Bergersen,403,Battlecry
7,Soaring (Original Mix),TomLeevis,399,Soaring
8,Star Sky - Instrumental,Two Steps From Hell/Thomas Bergersen,393,Battlecry
9,Tales of the Electric Romeo,Immediate,389,Trailerhead: Triumph
10,Ignite,Zedd,386,Ignite (2016 League Of Legends World Championship)
11,FAIRY TAIL メインテーマ,高梨康治,381,「FAIRY TAIL」ORIGINAL SOUNDTRACK VOL.1
12,Breath and Life,Audiomachine,378,The Platinum Series III: Eterna
13,ツナ覚醒,佐橋俊彦,373,最新热歌慢摇80
14,Fly Away,TheFatRat/Anjulie,354,Fly Away
15,Energy Drink,Virtual Riot,353,Energy Drink
16,Elegy,TheFatRat,351,Jackpot
17,Monody (Radio Edit),TheFatRat/Laura Brehm,350,Monody (Radio Edit)
18,Silver Scrapes,英雄联盟/Danny McCarthy,338,最新热歌慢摇16
19,"Jhin, the Virtuoso",Edouard Brenneisen/英雄联盟,335,"Jhin, the Virtuoso"
20,Unity,TheFatRat,335,Unity
21,#Lov3 #Ngẫu Hứng,Hoaprox,334,#Lov3 #Ngẫu Hứng
22,2016 MSI China Anthem,英雄联盟,328,英雄联盟MSI精选歌曲
23,The New York Nightfall,Position Music,327,Volume 55 Epic Hip-Hop
24,The 7 Seas,F-777,327,Pirate Dance Machine
25,Jackpot,TheFatRat,319,Jackpot
26,Song Of Adventures,F-777,306,Viking Dance Machine
27,Undertale,Toby Fox,303,UNDERTALE Soundtrack
28,Listen,ONE OK ROCK/Avril Lavigne,296,Ambitions [日本盤]
29,Hopes And Dreams,Toby Fox,291,UNDERTALE Soundtrack
30,MSI 2016 Opening Ceremony,英雄联盟,284,2016 Mid-Season Invitational
31,Piercing Light,英雄联盟/Mako,272,Warsongs
32,我是麦克接客骚,布姆人,269,我是麦克接客骚
33,Night Caller,Abandoned/InfiNoise/Project Nightfall,262,Night Caller
34,Flash Funk,英雄联盟/Marshmello,262,Warsongs
35,Warriors,Imagine Dragons,254,Warriors (Official Anthem of League of Legends 2014 World Championship)
36,きっと青春が聞こえる,μ's,250,きっと青春が聞こえる
37,アイロニ,majiko,246,Contrast
38,それは僕たちの奇跡,μ's,243,それは僕たちの奇跡
39,恋愛サーキュレーション,花澤香菜,238,恋愛サーキュレーション & あとがたり
40,Revolution,The Score,236,Revolution
41,Star Guardian 2017,Edouard Brenneisen/Julie Elven/英雄联盟,230,Star Guardian 2017
42,Oblivion,TheFatRat/Lola Blanc,229,Oblivion
43,世末歌者（Cover 乐正绫）,双笙（陈元汐）/封茗囧菌,204,世末歌者（翻唱）
44,僕らは今のなかで,μ's,199,僕らは今のなかで
45,START:DASH!!,μ's,195,No brand girls / START:DASH!!
46,Shine,Spektrem,194,Shine
