歌手,歌曲,专辑,发行年份,时长(秒)
塞壬唱片-MSR/Nadia Vaeh/David Lin/Erik Castro,雾色秘访,音律联觉-熠曲丰碑原声EP,2025,194
HITA,赤伶,赤伶,2018,266
King Gnu,飛行艇,飛行艇,2019,260
Afterglow,燦々,燦々,2023,195
塞壬唱片-MSR/Shihori/Cody Matthew Johnson,魔王,音律联觉-不觅浪尘原声EP,2024,290
Two Steps From Hell/Thomas Bergersen/Merethe Soltvedt,El Dorado (Dubstep Remix),Burn,2012,185
塞壬唱片-MSR/Robert Wolf,霓虹塔下,红松林OST,,263
塞壬唱片-MSR/Adam Gubman,醉飞尘,醉飞尘,2022,249
小林未郁/澤野弘之,βίος <MK+nZk Version>,THEME SONGS COLLECTION,2012,295
Two Steps From Hell,Impossible,Unleashed,2017,534
塞壬唱片-MSR/刘雯/宗立Zongli,镜花水月,音律联觉-熠曲丰碑原声EP,2025,279
MyGO!!!!!,春日影 (MyGO!!!!! ver.),迷跡波,2023,256
鎖那,彼女は旅に出る,Hush a by little girl,2017,220
MyGO!!!!!,無路矢,迷跡波,2023,222
milet,inside you,inside you EP,2019,221
MyGO!!!!!,影色舞,迷跡波,2023,209
Aimer/EGOIST,ninelie,ninelie EP,2016,260
Platix_Zhang,惊涛落日（Official Vers.）,惊涛落日,,167
鸣潮先约电台/jkinss,拉海洛最后的夜晚,壳中的摇篮曲,,168
英雄联盟/Against the Current,Legends Never Die,Legends Never Die,2017,235
塞壬唱片-MSR/Erik Castro,Protocol,卫戍协议OST,2024,162
塞壬唱片-MSR/Erik Castro,不存在的乐园,空想花庭OST,,151
塞壬唱片-MSR/Adam Gubman,定风波,定风波,,227
Zedd,Ignite,Ignite (2016 League Of Legends World Championship),2016,195
英雄联盟/Danny McCarthy,Silver Scrapes,最新热歌慢摇16,2013,199
塞壬唱片-MSR/Adam Gubman/Moonlist,Blade Catcher,Blade Catcher,,204
塞壬唱片-MSR/Obadiah Brown-Beach/Forts,Eternal Flame,Eternal Flame,,234
Michael Jackson,Billie Jean (Extended),Billie Jean / Instrumental,1983,382
WizTheMC,Wait For You,Wait For You,2026,169
塞壬唱片-MSR/Kirara Magic,Effervescence,火山旅梦OST,,179
Akira Complex,Ether Strike ('Divine Mercy' Extended),Arcaea Sound Collection: Memories of Light,2019,276
Crywolf,D D D N N N A A A [the most fun a boy can have without ripping his skin off],exuvium [OBLIVIØN Pt. II],2022,339
CircusP/GUMI,Crystalline,EXIT TUNES PRESENTS Entrance Dream Music,2015,243
塞壬唱片-MSR/Matthew Carl Earl/David Lin/Laura Intravia,Flame Shadow,Flame Shadow,,223
Crywolf,DATURA [paroxysm],exuvium [OBLIVIØN Pt. II],2022,215
Wisp X,Song of the Forest,Song of the Forest,2018,225
Crywolf,DREAMING OF ME // IN COLORS OF WHITE,exuvium [OBLIVIØN Pt. II],2022,268
塞壬唱片-MSR/Ruǐ蕊,Blues with you,孤星OST,,110
トゲナシトゲアリ,雑踏、僕らの街,雑踏、僕らの街,2024,184
Michael Jackson,Beat It,"HIStory: Past, Present and Future, Book I",1982,258
塞壬唱片-MSR/Steven Grove,Control's Wishes,孤星OST,2023,192
鸣潮先约电台/jixwang/小林未郁,那颗星梦见的春日,星轨消逝之夜,,241
